Date,Open,High,Low,Close,Adj. Close,Change,Volume
21-Nov-25,265.95,273.33,265.67,271.49,271.49,1.97%,"58,837,191"
20-Nov-25,270.83,275.43,265.92,266.25,266.25,-0.86%,"45,823,568"
19-Nov-25,265.53,272.21,265.5,268.56,268.56,0.42%,"40,424,492"
18-Nov-25,269.99,270.71,265.32,267.44,267.44,-0.01%,"45,677,278"
17-Nov-25,268.82,270.49,265.73,267.46,267.46,-1.82%,"45,018,260"
14-Nov-25,271.05,275.96,269.6,272.41,272.41,-0.20%,"47,431,331"
13-Nov-25,274.11,276.7,272.09,272.95,272.95,-0.19%,"49,602,794"
12-Nov-25,275,275.73,271.7,273.47,273.47,-0.65%,"48,397,982"
11-Nov-25,269.81,275.91,269.8,275.25,275.25,2.16%,"46,208,318"
10-Nov-25,268.96,273.73,267.46,269.43,269.43,0.36%,"41,312,412"
7-Nov-25,269.8,272.29,266.77,268.47,268.21,-0.48%,"48,227,365"
6-Nov-25,267.89,273.4,267.89,269.77,269.51,-0.14%,"51,204,045"
5-Nov-25,268.61,271.7,266.93,270.14,269.88,0.04%,"43,683,072"
4-Nov-25,268.33,271.49,267.62,270.04,269.78,0.37%,"49,274,846"
3-Nov-25,270.42,270.85,266.25,269.05,268.79,-0.49%,"50,194,583"
31-Oct-25,276.99,277.32,269.16,270.37,270.11,-0.38%,"86,167,123"
30-Oct-25,271.99,274.14,268.48,271.4,271.14,0.63%,"69,886,534"
29-Oct-25,269.28,271.41,267.11,269.7,269.44,0.26%,"51,086,742"
28-Oct-25,268.99,269.89,268.15,269,268.74,0.07%,"41,534,759"
27-Oct-25,264.88,269.12,264.65,268.81,268.55,2.28%,"44,888,152"
24-Oct-25,261.19,264.13,259.18,262.82,262.57,1.25%,"38,253,717"
23-Oct-25,259.94,260.62,258.01,259.58,259.33,0.44%,"32,754,941"
22-Oct-25,262.65,262.85,255.43,258.45,258.2,-1.64%,"45,015,254"
21-Oct-25,261.88,265.29,261.83,262.77,262.52,0.20%,"46,695,948"
20-Oct-25,255.89,264.38,255.63,262.24,261.99,3.94%,"90,483,029"
17-Oct-25,248.02,253.38,247.27,252.29,252.05,1.96%,"49,146,961"
16-Oct-25,248.25,249.04,245.13,247.45,247.21,-0.76%,"39,776,974"
15-Oct-25,249.49,251.82,247.47,249.34,249.1,0.63%,"33,893,611"
14-Oct-25,246.6,248.85,244.7,247.77,247.53,0.04%,"35,477,986"
13-Oct-25,249.38,249.69,245.56,247.66,247.42,0.97%,"38,142,942"
10-Oct-25,254.94,256.38,244,245.27,245.03,-3.45%,"61,999,098"
9-Oct-25,257.81,258,253.14,254.04,253.79,-1.56%,"38,322,012"
8-Oct-25,256.52,258.52,256.11,258.06,257.81,0.62%,"36,496,895"
7-Oct-25,256.81,257.4,255.43,256.48,256.23,-0.08%,"31,955,776"
6-Oct-25,257.99,259.07,255.05,256.69,256.44,-0.52%,"44,664,118"
3-Oct-25,254.67,259.24,253.95,258.02,257.77,0.35%,"49,155,614"
2-Oct-25,256.58,258.18,254.15,257.13,256.88,0.66%,"42,630,239"
1-Oct-25,255.04,258.79,254.93,255.45,255.2,0.32%,"48,713,940"
30-Sep-25,254.86,255.92,253.11,254.63,254.38,0.08%,"37,704,259"
29-Sep-25,254.56,255,253.01,254.43,254.18,-0.40%,"40,127,687"
26-Sep-25,254.1,257.6,253.78,255.46,255.21,-0.55%,"46,076,258"
25-Sep-25,253.21,257.17,251.71,256.87,256.62,1.81%,"55,202,075"
24-Sep-25,255.22,255.74,251.04,252.31,252.07,-0.83%,"42,303,710"
23-Sep-25,255.88,257.34,253.58,254.43,254.18,-0.64%,"60,275,187"
22-Sep-25,248.3,256.64,248.12,256.08,255.83,4.31%,"105,517,416"
19-Sep-25,241.23,246.3,240.21,245.5,245.26,3.20%,"163,741,314"
18-Sep-25,239.97,241.2,236.65,237.88,237.65,-0.46%,"44,249,576"
17-Sep-25,238.97,240.1,237.73,238.99,238.76,0.35%,"46,508,017"
16-Sep-25,237.18,241.22,236.32,238.15,237.92,0.61%,"63,421,099"
15-Sep-25,237,238.19,235.03,236.7,236.47,1.12%,"42,699,524"
12-Sep-25,229.22,234.51,229.02,234.07,233.84,1.76%,"55,824,216"
11-Sep-25,226.88,230.45,226.65,230.03,229.81,1.43%,"50,208,578"
10-Sep-25,232.19,232.42,225.95,226.79,226.57,-3.23%,"83,440,810"
9-Sep-25,237,238.78,233.36,234.35,234.12,-1.48%,"66,313,918"
8-Sep-25,239.3,240.15,236.34,237.88,237.65,-0.76%,"48,999,495"
5-Sep-25,240,241.32,238.49,239.69,239.46,-0.04%,"54,870,397"
4-Sep-25,238.45,239.9,236.74,239.78,239.55,0.55%,"47,549,429"
3-Sep-25,237.21,238.85,234.36,238.47,238.24,3.81%,"66,427,835"
2-Sep-25,229.25,230.85,226.97,229.72,229.5,-1.04%,"44,075,638"
29-Aug-25,232.51,233.38,231.37,232.14,231.92,-0.18%,"39,418,437"
28-Aug-25,230.82,233.41,229.34,232.56,232.33,0.90%,"38,074,700"
27-Aug-25,228.61,230.9,228.26,230.49,230.27,0.51%,"31,259,513"
26-Aug-25,226.87,229.49,224.69,229.31,229.09,0.95%,"54,575,107"
25-Aug-25,226.48,229.3,226.23,227.16,226.94,-0.26%,"30,983,133"
22-Aug-25,226.17,229.09,225.41,227.76,227.54,1.27%,"42,477,811"
21-Aug-25,226.27,226.52,223.78,224.9,224.68,-0.49%,"30,621,249"
20-Aug-25,229.98,230.47,225.77,226.01,225.79,-1.97%,"42,263,865"
19-Aug-25,231.28,232.87,229.35,230.56,230.34,-0.14%,"39,402,564"
18-Aug-25,231.7,233.12,230.11,230.89,230.67,-0.30%,"37,476,188"
15-Aug-25,234,234.28,229.34,231.59,231.37,-0.51%,"56,038,657"
14-Aug-25,234.06,235.12,230.85,232.78,232.55,-0.24%,"51,916,275"
13-Aug-25,231.07,235,230.43,233.33,233.1,1.60%,"69,878,546"
12-Aug-25,228.01,230.8,227.07,229.65,229.43,1.09%,"55,672,301"
11-Aug-25,227.92,229.56,224.76,227.18,226.96,-0.95%,"61,806,132"
8-Aug-25,220.83,231,219.25,229.35,228.87,4.24%,"113,853,967"
7-Aug-25,218.88,220.85,216.58,220.03,219.57,3.18%,"90,224,834"
6-Aug-25,205.63,215.38,205.59,213.25,212.8,5.09%,"108,483,103"
5-Aug-25,203.4,205.34,202.16,202.92,202.49,-0.21%,"44,155,079"
4-Aug-25,204.51,207.88,201.68,203.35,202.92,0.48%,"75,109,298"
1-Aug-25,210.87,213.58,201.5,202.38,201.95,-2.50%,"104,434,473"
31-Jul-25,208.49,209.84,207.16,207.57,207.13,-0.71%,"80,698,431"
30-Jul-25,211.9,212.39,207.72,209.05,208.61,-1.05%,"45,512,514"
29-Jul-25,214.18,214.81,210.82,211.27,210.83,-1.30%,"51,411,723"
28-Jul-25,214.03,214.85,213.06,214.05,213.6,0.08%,"37,858,017"
25-Jul-25,214.7,215.24,213.4,213.88,213.43,0.06%,"40,268,781"
24-Jul-25,213.9,215.69,213.53,213.76,213.31,-0.18%,"46,022,620"
23-Jul-25,215,215.15,212.41,214.15,213.7,-0.12%,"46,989,301"
22-Jul-25,213.14,214.95,212.23,214.4,213.95,0.90%,"46,404,072"
21-Jul-25,212.1,215.78,211.63,212.48,212.03,0.62%,"51,377,434"
18-Jul-25,210.87,211.79,209.71,211.18,210.74,0.55%,"48,974,591"
17-Jul-25,210.57,211.8,209.59,210.02,209.58,-0.07%,"48,068,141"
16-Jul-25,210.3,212.4,208.64,210.16,209.72,0.50%,"47,490,532"
15-Jul-25,209.22,211.89,208.92,209.11,208.67,0.23%,"42,296,339"
14-Jul-25,209.93,210.91,207.54,208.62,208.18,-1.20%,"38,840,111"
11-Jul-25,210.57,212.13,209.86,211.16,210.72,-0.59%,"39,765,812"
10-Jul-25,210.51,213.48,210.03,212.41,211.96,0.60%,"44,443,635"
9-Jul-25,209.53,211.33,207.22,211.14,210.7,0.54%,"48,749,367"
8-Jul-25,210.1,211.43,208.45,210.01,209.57,0.03%,"42,848,928"
7-Jul-25,212.68,216.23,208.8,209.95,209.51,-1.69%,"50,228,984"
3-Jul-25,212.15,214.65,211.81,213.55,213.1,0.52%,"34,955,836"
2-Jul-25,208.91,213.34,208.14,212.44,211.99,2.22%,"67,941,811"
